left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
117,6,148,46,"[25,45] degrees",neutral,-0.4,125,117,clockwise,31,40
80,160,108,197,"[25,45] degrees",left,-0.4,40,80,clockwise,28,37
26,51,46,78,"[25,45] degrees",neutral,0.4,59,51,clockwise,27,20
127,163,166,184,"[25,45] degrees",right,0.4,199,163,clockwise,21,39
72,10,97,32,"[25,45] degrees",neutral,-0.4,68,72,clockwise,25,22
23,44,51,87,"[25,45] degrees",left,-0.4,37,23,clockwise,28,43
172,14,197,59,"[25,45] degrees",neutral,0.4,50,14,clockwise,45,25
159,18,197,61,"[25,45] degrees",right,0.4,24,18,clockwise,43,38
7,82,41,104,"[25,45] degrees",neutral,-0.4,39,7,clockwise,34,22
106,33,150,66,"[25,45] degrees",left,-0.4,66,106,clockwise,44,33
134,17,179,58,"[25,45] degrees",neutral,0.4,53,17,clockwise,41,45
40,107,66,131,"[25,45] degrees",right,0.4,98,107,clockwise,24,26
52,105,80,143,"[25,45] degrees",neutral,-0.4,29,52,clockwise,28,38
165,88,194,130,"[25,45] degrees",left,-0.4,157,165,clockwise,29,42
130,48,172,91,"[25,45] degrees",neutral,0.4,32,48,clockwise,43,42
137,45,161,69,"[25,45] degrees",right,0.4,46,45,clockwise,24,24
55,28,90,51,"[25,45] degrees",neutral,-0.4,75,55,clockwise,35,23
17,93,55,134,"[25,45] degrees",left,-0.4,32,17,clockwise,38,41
177,58,199,87,"[25,45] degrees",neutral,0.4,59,58,clockwise,29,22
107,175,131,220,"[25,45] degrees",right,0.4,144,175,clockwise,45,24
50,76,81,104,"[25,45] degrees",neutral,-0.4,72,50,clockwise,31,28
38,114,63,142,"[25,45] degrees",left,-0.4,70,38,clockwise,25,28
0,76,32,102,"[25,45] degrees",neutral,0.4,60,76,clockwise,26,32
70,102,100,135,"[25,45] degrees",right,0.4,117,102,clockwise,33,30
121,70,153,109,"[25,45] degrees",neutral,-0.4,115,121,clockwise,32,39
32,147,60,185,"[25,45] degrees",left,-0.4,69,32,clockwise,28,38
148,98,176,129,"[25,45] degrees",neutral,0.4,84,98,clockwise,31,28
43,115,79,154,"[25,45] degrees",right,0.4,136,115,clockwise,39,36
5,53,29,93,"[25,45] degrees",neutral,-0.4,-5,5,clockwise,24,40
60,89,97,131,"[25,45] degrees",left,-0.4,68,60,clockwise,37,42
74,158,96,186,"[25,45] degrees",neutral,0.4,195,158,clockwise,28,22
54,172,80,199,"[25,45] degrees",right,0.4,217,172,clockwise,27,26
93,11,120,32,"[25,45] degrees",neutral,-0.4,65,93,clockwise,27,21
31,116,51,149,"[25,45] degrees",left,-0.4,57,31,clockwise,20,33
176,37,197,65,"[25,45] degrees",neutral,0.4,50,37,clockwise,28,21
34,147,77,190,"[25,45] degrees",right,0.4,116,147,clockwise,43,43
93,123,116,147,"[25,45] degrees",neutral,-0.4,127,93,clockwise,23,24
98,174,141,194,"[25,45] degrees",left,-0.4,64,98,clockwise,43,20
168,95,199,126,"[25,45] degrees",neutral,0.4,128,95,clockwise,31,31
107,138,128,164,"[25,45] degrees",right,0.4,107,138,clockwise,26,21
8,107,34,133,"[25,45] degrees",neutral,-0.4,-37,8,clockwise,26,26
80,101,104,140,"[25,45] degrees",left,-0.4,94,80,clockwise,24,39
15,169,50,208,"[25,45] degrees",neutral,0.4,127,169,clockwise,39,35
16,55,40,89,"[25,45] degrees",right,0.4,69,55,clockwise,34,24
169,119,212,147,"[25,45] degrees",neutral,-0.4,128,169,clockwise,43,28
115,68,153,109,"[25,45] degrees",left,-0.4,143,115,clockwise,38,41
96,52,141,91,"[25,45] degrees",neutral,0.4,87,52,clockwise,39,45
97,157,126,179,"[25,45] degrees",right,0.4,169,157,clockwise,22,29
132,168,165,188,"[25,45] degrees",neutral,-0.4,160,132,clockwise,33,20
51,85,77,118,"[25,45] degrees",left,-0.4,94,51,clockwise,26,33
80,130,109,175,"[25,45] degrees",neutral,0.4,110,130,clockwise,45,29
165,125,188,161,"[25,45] degrees",right,0.4,158,125,clockwise,36,23
177,127,198,162,"[25,45] degrees",neutral,-0.4,150,177,clockwise,21,35
70,94,102,127,"[25,45] degrees",left,-0.4,45,70,clockwise,32,33
55,13,86,46,"[25,45] degrees",neutral,0.4,-15,13,clockwise,33,31
58,146,101,179,"[25,45] degrees",right,0.4,124,146,clockwise,33,43
147,52,171,97,"[25,45] degrees",neutral,-0.4,170,147,clockwise,24,45
66,15,89,47,"[25,45] degrees",left,-0.4,77,66,clockwise,23,32
20,116,49,154,"[25,45] degrees",neutral,0.4,156,116,clockwise,38,29
165,91,202,120,"[25,45] degrees",right,0.4,76,91,clockwise,29,37
141,60,164,86,"[25,45] degrees",neutral,-0.4,162,141,clockwise,23,26
16,115,46,154,"[25,45] degrees",left,-0.4,-22,16,clockwise,30,39
157,54,188,93,"[25,45] degrees",neutral,0.4,42,54,clockwise,39,31
105,158,142,193,"[25,45] degrees",right,0.4,181,158,clockwise,35,37
135,21,157,61,"[25,45] degrees",neutral,-0.4,166,135,clockwise,22,40
54,110,79,138,"[25,45] degrees",left,-0.4,27,54,clockwise,25,28
109,0,140,22,"[25,45] degrees",neutral,0.4,-42,0,clockwise,22,31
116,22,150,47,"[25,45] degrees",right,0.4,52,22,clockwise,25,34
178,38,209,78,"[25,45] degrees",neutral,-0.4,177,178,clockwise,31,40
122,48,147,83,"[25,45] degrees",left,-0.4,142,122,clockwise,25,35
6,34,28,55,"[25,45] degrees",neutral,0.4,61,34,clockwise,21,22
110,85,151,130,"[25,45] degrees",right,0.4,70,85,clockwise,45,41
77,5,100,31,"[25,45] degrees",neutral,-0.4,91,77,clockwise,23,26
95,176,123,215,"[25,45] degrees",left,-0.4,92,95,clockwise,28,39
146,52,187,84,"[25,45] degrees",neutral,0.4,64,52,clockwise,32,41
56,119,100,145,"[25,45] degrees",right,0.4,152,119,clockwise,26,44
136,62,174,85,"[25,45] degrees",neutral,-0.4,152,136,clockwise,38,23
144,54,181,98,"[25,45] degrees",left,-0.4,148,144,clockwise,37,44
147,127,186,172,"[25,45] degrees",neutral,0.4,115,127,clockwise,45,39
101,21,141,48,"[25,45] degrees",right,0.4,33,21,clockwise,27,40
166,123,198,149,"[25,45] degrees",neutral,-0.4,205,166,clockwise,32,26
83,145,106,173,"[25,45] degrees",left,-0.4,89,83,clockwise,23,28
116,67,158,95,"[25,45] degrees",neutral,0.4,55,67,clockwise,28,42
34,95,60,133,"[25,45] degrees",right,0.4,134,95,clockwise,38,26
176,50,199,72,"[25,45] degrees",neutral,-0.4,198,176,clockwise,23,22
36,97,72,117,"[25,45] degrees",left,-0.4,16,36,clockwise,36,20
53,113,79,133,"[25,45] degrees",neutral,0.4,70,113,clockwise,20,26
36,173,81,213,"[25,45] degrees",right,0.4,172,173,clockwise,40,45
94,151,123,192,"[25,45] degrees",neutral,-0.4,139,94,clockwise,29,41
173,37,206,63,"[25,45] degrees",left,-0.4,218,173,clockwise,33,26
