left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
164,18,179,42,"(0,18] degrees",neutral,-0.4,179,164,clockwise,15,24
151,91,182,106,"(18,36] degrees",left,-0.4,144,151,clockwise,31,15
121,167,100,163,"(0,18] degrees",right,0.4,130,167,anticlockwise,-4,-21
83,147,79,116,"(18,36] degrees",neutral,0.4,140,147,anticlockwise,-31,-4
136,31,152,66,"(0,18] degrees",left,-0.4,139,136,clockwise,16,35
24,106,27,142,"(18,36] degrees",right,0.4,85,106,clockwise,36,3
78,132,77,103,"(0,18] degrees",neutral,-0.4,55,78,anticlockwise,-1,-29
73,124,50,115,"(18,36] degrees",left,-0.4,90,73,anticlockwise,-23,-9
161,140,181,145,"(0,18] degrees",right,0.4,116,140,clockwise,5,20
136,72,150,102,"(18,36] degrees",neutral,0.4,84,72,clockwise,30,14
85,51,68,20,"(0,18] degrees",left,-0.4,78,85,anticlockwise,-17,-31
12,127,-2,106,"(18,36] degrees",right,0.4,98,127,anticlockwise,-21,-14
122,58,140,78,"(0,18] degrees",neutral,-0.4,128,122,clockwise,18,20
120,42,144,47,"(18,36] degrees",left,-0.4,148,120,clockwise,24,5
97,161,68,157,"(0,18] degrees",right,0.4,141,161,anticlockwise,-4,-29
14,87,-4,68,"(18,36] degrees",neutral,0.4,76,87,anticlockwise,-19,-18
150,108,168,139,"(0,18] degrees",left,-0.4,109,150,clockwise,18,31
76,40,91,71,"(18,36] degrees",right,0.4,81,40,clockwise,31,15
49,152,44,129,"(0,18] degrees",neutral,-0.4,78,49,anticlockwise,-5,-23
70,102,46,101,"(18,36] degrees",left,-0.4,64,70,anticlockwise,-24,-1
152,100,171,110,"(0,18] degrees",right,0.4,133,100,clockwise,10,19
142,2,153,25,"(18,36] degrees",neutral,0.4,32,2,clockwise,23,11
3,67,-13,35,"(0,18] degrees",left,-0.4,21,3,anticlockwise,-16,-32
134,32,122,2,"(18,36] degrees",right,0.4,14,32,anticlockwise,-30,-12
139,81,141,104,"(0,18] degrees",neutral,-0.4,126,139,clockwise,2,23
73,39,93,57,"(18,36] degrees",left,-0.4,36,73,clockwise,20,18
