left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity,instru_trials.thisRepN,instru_trials.thisTrialN,instru_trials.thisN,instru_trials.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,left_gabor.started,left_gabor.stopped,right_gabor.started,right_gabor.stopped,fixation2.started,fixation2.stopped,left_distractor_prac.started,left_distractor_prac.stopped,right_distractor_prac.started,right_distractor_prac.stopped,cue_text.started,cue_text.stopped,fixation3.started,fixation3.stopped,cue_resp.started,cue_resp.stopped,probe.started,probe.stopped,response_ori,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,buffer.started,buffer.stopped,begin_text.started,begin_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix_cross.started,fix_cross.stopped,left_target.started,left_target.stopped,right_target.started,right_target.stopped,fix_cross2.started,fix_cross2.stopped,left_distractor_main.started,left_distractor_main.stopped,right_distractor_main.started,right_distractor_main.stopped,main_cue.started,main_cue.stopped,fix_cross3.started,fix_cross3.stopped,take_break.started,take_break.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
142,41,172,72,"[25,45] degrees",neutral,0.4,24,41,clockwise,31,30,,,,,0,0,0,0,0,0,0,2,,,,,14.09884447301738,None,14.09884447301738,15.111454494064674,14.09884447301738,15.111454494064674,16.09480045910459,None,16.09480045910459,17.095708103035577,16.09480045910459,17.095708103035577,18.095774188055657,18.295818280079402,18.095774188055657,None,19.6959729550872,None,19.6959729550872,None,15.390170378728026,[0.05486111111111111],[0.19930555555555557],[1],[0],[0],[2.7980068039614707],19.6959729550872,None,24.01371371699497,None,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
119,172,85,127,"[25,45] degrees",neutral,0.4,156,172,anticlockwise,-45,-34,,,,,0,0,0,0,0,1,1,10,,,,,24.514484188053757,None,24.514484188053757,25.51391035108827,24.514484188053757,25.51391035108827,26.512893411098048,None,26.512893411098048,27.51515608804766,26.512893411098048,27.51515608804766,28.514907928998582,28.7156202821061,28.514907928998582,None,30.10504550510086,None,30.10504550510086,None,-37.70424322139081,[-0.0875],[0.11319444444444444],[1],[0],[0],[0.7674065359169617],30.10504550510086,None,32.38290885009337,None,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
114,59,148,94,"[25,45] degrees",neutral,-0.4,79,114,clockwise,34,35,,,,,0,0,0,0,0,2,2,0,,,,,32.88297290808987,None,32.88297290808987,33.88331060402561,32.88297290808987,33.88331060402561,34.88330148800742,None,34.88330148800742,35.871856990037486,34.88330148800742,35.871856990037486,36.88453261810355,37.08460690907668,36.88453261810355,None,38.485114219016396,None,38.485114219016396,None,-24.884483526764285,[],[],[],[],[],[],38.485114219016396,None,44.98706516704988,None,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
146,113,109,86,"[25,45] degrees",left,-0.4,166,146,anticlockwise,-37,-27,,,,,0,0,0,0,0,3,3,9,,,,,45.48636584705673,None,45.48636584705673,46.48577076301444,45.48636584705673,46.48577076301444,47.487745972000994,None,47.487745972000994,48.48720235307701,47.487745972000994,48.48720235307701,49.48690423509106,49.68780952505767,49.48690423509106,None,51.07969264208805,None,51.07969264208805,None,-24.884483526764285,[],[],[],[],[],[],51.07969264208805,None,57.590387778007425,None,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
93,125,118,150,"[25,45] degrees",left,-0.4,77,93,clockwise,25,25,,,,,0,0,0,0,0,4,4,5,,,,,58.090315856039524,None,58.090315856039524,59.09055528603494,58.090315856039524,59.09055528603494,60.089861790067516,None,60.089861790067516,61.079161686007865,60.089861790067516,61.079161686007865,62.091889601084404,62.29137474508025,62.091889601084404,None,63.69248042802792,None,63.69248042802792,None,-24.884483526764285,[],[],[],[],[],[],63.69248042802792,None,70.1817949070828,None,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
144,95,108,69,"[25,45] degrees",right,0.4,131,95,anticlockwise,-26,-36,,,,,0,0,0,0,0,5,5,11,,,,,70.68266218400095,None,70.68266218400095,71.69453185808379,70.68266218400095,71.69453185808379,72.69484935502987,None,72.69484935502987,73.69459553307388,72.69484935502987,73.69459553307388,74.69538275210653,74.89466821006499,74.69538275210653,None,76.29550976504106,None,76.29550976504106,None,-24.884483526764285,[],[],[],[],[],[],76.29550976504106,None,82.797631278052,None,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
114,49,137,90,"[25,45] degrees",left,-0.4,109,114,clockwise,23,41,,,,,0,0,0,0,0,6,6,1,,,,,83.29787663801108,None,83.29787663801108,84.29774723900482,83.29787663801108,84.29774723900482,85.2977561650332,None,85.2977561650332,86.29640693007968,85.2977561650332,86.29640693007968,87.29845551308244,87.498761364026,87.29845551308244,None,88.89882378303446,None,88.89882378303446,None,-24.884483526764285,[],[],[],[],[],[],88.89882378303446,None,95.40064443903975,None,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
84,31,63,-3,"[25,45] degrees",neutral,-0.4,80,84,anticlockwise,-21,-34,,,,,0,0,0,0,0,7,7,12,,,,,95.90055284404662,None,95.90055284404662,96.90144653408788,95.90055284404662,96.90144653408788,97.90154960204381,None,97.90154960204381,98.90174014400691,97.90154960204381,98.90174014400691,99.90143297601026,100.10151774506085,99.90143297601026,None,101.50214855209924,None,101.50214855209924,None,-24.884483526764285,[],[],[],[],[],[],101.50214855209924,None,108.00445890403353,None,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
31,149,51,174,"[25,45] degrees",right,0.4,175,149,clockwise,25,20,,,,,0,0,0,0,0,8,8,3,,,,,108.50457906106021,None,108.50457906106021,109.50477175309788,108.50457906106021,109.50477175309788,110.5048374820035,None,110.5048374820035,111.50484503607731,110.5048374820035,111.50484503607731,112.50591859908309,112.70584708999377,112.50591859908309,None,114.10606325604022,None,114.10606325604022,None,-24.884483526764285,[],[],[],[],[],[],114.10606325604022,None,120.6073185360292,None,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
