left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity,instru_trials.thisRepN,instru_trials.thisTrialN,instru_trials.thisN,instru_trials.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,left_gabor.started,left_gabor.stopped,right_gabor.started,right_gabor.stopped,fixation2.started,fixation2.stopped,left_distractor_prac.started,left_distractor_prac.stopped,right_distractor_prac.started,right_distractor_prac.stopped,cue_text.started,cue_text.stopped,fixation3.started,fixation3.stopped,cue_resp.started,cue_resp.stopped,probe.started,probe.stopped,probe_resp.keys,probe_resp.rt,response_ori,buffer.started,buffer.stopped,begin_text.started,begin_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix_cross.started,fix_cross.stopped,left_target.started,left_target.stopped,right_target.started,right_target.stopped,fix_cross2.started,fix_cross2.stopped,left_distractor_main.started,left_distractor_main.stopped,right_distractor_main.started,right_distractor_main.stopped,main_cue.started,main_cue.stopped,fix_cross3.started,fix_cross3.stopped,take_break.started,take_break.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
22,150,-18,107,"[25,45] degrees",neutral,-0.4,-12,22,anticlockwise,-40,-43,,,,,0,0,0,0,0,0,0,12,,,,,18.493524228106253,None,18.493524228106253,19.50670951709617,18.493524228106253,19.50670951709617,20.49028394103516,None,20.49028394103516,21.490372494095936,20.49028394103516,21.490372494095936,22.491158806020394,22.691258284030482,22.491158806020394,None,24.091533454018645,None,24.091533454018645,None,space,1.3412334620952606,-41.445821764467915,26.95773291401565,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
143,14,123,-28,"[25,45] degrees",neutral,0.4,36,14,anticlockwise,-42,-20,,,,,0,0,0,0,0,1,1,6,,,,,27.460197881096974,None,27.460197881096974,28.460274883080274,27.460197881096974,28.460274883080274,29.4594277900178,None,29.4594277900178,30.459756785072386,29.4594277900178,30.459756785072386,31.44931268610526,31.647006247076206,31.44931268610526,None,33.06088606710546,None,33.06088606710546,None,space,4.262272853055038,-45.178490947553605,38.845533874002285,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
56,83,80,115,"[25,45] degrees",neutral,-0.4,54,56,clockwise,24,32,,,,,0,0,0,0,0,2,2,4,,,,,39.345441757002845,None,39.345441757002845,40.346029164036736,39.345441757002845,40.346029164036736,41.336040109046735,None,41.336040109046735,42.34674846904818,41.336040109046735,42.34674846904818,43.34703330101911,43.54699802608229,43.34703330101911,None,44.94724950904492,None,44.94724950904492,None,None,,-45.178490947553605,51.44787867704872,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
82,9,122,53,"[25,45] degrees",left,-0.4,91,82,clockwise,40,44,,,,,0,0,0,0,0,3,3,5,,,,,51.93930440803524,None,51.93930440803524,52.95087315700948,51.93930440803524,52.95087315700948,53.95073605701327,None,53.95073605701327,54.95072574610822,53.95073605701327,54.95072574610822,55.95080365811009,56.150697284028865,55.95080365811009,None,57.55075784807559,None,57.55075784807559,None,space,1.4731777759734541,-45.178490947553605,60.53889788710512,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
25,95,54,134,"[25,45] degrees",neutral,-0.4,66,25,clockwise,29,39,,,,,0,0,0,0,0,4,4,0,,,,,61.033862053998746,None,61.033862053998746,62.02248634304851,61.033862053998746,62.02248634304851,63.035583406104706,None,63.035583406104706,64.035982024041,63.035583406104706,64.035982024041,65.03600703703705,65.23617073602509,65.03600703703705,None,66.6275568830315,None,66.6275568830315,None,None,,-45.178490947553605,73.13869643805083,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
168,90,204,126,"[25,45] degrees",right,0.4,125,90,clockwise,36,36,,,,,0,0,0,0,0,5,5,3,,,,,73.63870158907957,None,73.63870158907957,74.63885794510134,73.63870158907957,74.63885794510134,75.62831310101319,None,75.62831310101319,76.62148802506272,75.62831310101319,76.62148802506272,77.64000229001977,77.84008976409677,77.64000229001977,None,79.24155493604485,None,79.24155493604485,None,None,,-45.17738574753227,85.74363789800555,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
105,65,135,109,"[25,45] degrees",left,-0.4,81,105,clockwise,30,44,,,,,0,0,0,0,0,6,6,1,,,,,86.24386070703622,None,86.24386070703622,87.24386607308406,86.24386070703622,87.24386607308406,88.2596452080179,None,88.2596452080179,89.2597439440433,88.2596452080179,89.2597439440433,90.25977486209013,90.44831374508794,90.25977486209013,None,91.8426656021038,None,91.8426656021038,None,None,,-44.4911698646638,98.34565972606651,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
156,12,191,35,"[25,45] degrees",neutral,0.4,46,12,clockwise,23,35,,,,,0,0,0,0,0,7,7,2,,,,,98.84593163407408,None,98.84593163407408,99.84599160705693,98.84593163407408,99.84599160705693,100.84629793302156,None,100.84629793302156,101.8344058690127,100.84629793302156,101.8344058690127,102.84844493004493,103.06497530709021,102.84844493004493,None,104.44848756608553,None,104.44848756608553,None,space,1.0704749309225008,-57.9234714069014,107.04949437303003,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
155,74,120,43,"[25,45] degrees",neutral,-0.4,194,155,anticlockwise,-35,-31,,,,,0,0,0,0,0,8,8,8,,,,,107.5494412840344,None,107.5494412840344,108.54930687404703,107.5494412840344,108.54930687404703,109.5496274640318,None,109.5496274640318,110.54922653001267,109.5496274640318,110.54922653001267,111.54940245510079,111.74790960608516,111.54940245510079,None,113.14968856505584,None,113.14968856505584,None,space,1.8417962670791894,-57.9234714069014,116.50480053108186,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
