left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity,instru_trials.thisRepN,instru_trials.thisTrialN,instru_trials.thisN,instru_trials.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,fixation.started,fixation.stopped,left_gabor.started,left_gabor.stopped,right_gabor.started,right_gabor.stopped,fixation2.started,fixation2.stopped,left_distractor_prac.started,left_distractor_prac.stopped,right_distractor_prac.started,right_distractor_prac.stopped,cue_text.started,cue_text.stopped,fixation3.started,fixation3.stopped,cue_resp.started,cue_resp.stopped,probe.started,probe.stopped,response_ori,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,buffer.started,buffer.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
36,116,8,86,"[25,45] degrees",neutral,0.4,117,116,anticlockwise,-30,-28,,,,,0,0,0,0,0,0,0,10,18.981049093068577,None,18.981049093068577,19.99381341203116,18.981049093068577,19.99381341203116,20.977210557088256,None,20.977210557088256,21.9772806171095,20.977210557088256,21.9772806171095,22.97732533304952,23.177164453081787,22.97732533304952,None,24.57823384110816,None,24.57823384110816,None,-14.787718993818375,[],[],[],[],[],[],24.57823384110816,None,31.096767374081537,None,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
115,137,85,108,"[25,45] degrees",neutral,0.4,137,137,anticlockwise,-29,-30,,,,,0,0,0,0,0,1,1,6,31.596982832066715,None,31.596982832066715,32.59692041401286,31.596982832066715,32.59692041401286,33.59712148306426,None,33.59712148306426,34.59781867603306,33.59712148306426,34.59781867603306,35.59792158100754,35.79794804204721,35.59792158100754,None,37.19855215807911,None,37.19855215807911,None,-30.67564743084339,[-0.18125],[0.3055555555555556],[1],[0],[0],[1.9344749689335003],37.19855215807911,None,40.649512900039554,None,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
78,141,116,178,"[25,45] degrees",neutral,-0.4,94,78,clockwise,38,37,,,,,0,0,0,0,0,2,2,0,41.149659485090524,None,41.149659485090524,42.149707368109375,41.149659485090524,42.149707368109375,43.14991475304123,None,43.14991475304123,44.150333477999084,43.14991475304123,44.150333477999084,45.15068900107872,45.35046578105539,45.15068900107872,None,46.751242510043085,None,46.751242510043085,None,-30.67564743084339,[],[],[],[],[],[],46.751242510043085,None,53.24059962807223,None,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
82,31,106,64,"[25,45] degrees",neutral,-0.4,122,82,clockwise,24,33,,,,,0,0,0,0,0,3,3,4,53.75338971510064,None,53.75338971510064,54.75395892607048,53.75338971510064,54.75395892607048,55.75373054808006,None,55.75373054808006,56.75426762504503,55.75373054808006,56.75426762504503,57.75321467011236,57.941907177097164,57.75321467011236,None,59.35507770103868,None,59.35507770103868,None,-30.67564743084339,[],[],[],[],[],[],59.35507770103868,None,65.857027935097,None,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
37,139,-5,118,"[25,45] degrees",left,-0.4,64,37,anticlockwise,-42,-21,,,,,0,0,0,0,0,4,4,9,66.35659902205225,None,66.35659902205225,67.34521747904364,66.35659902205225,67.34521747904364,68.34674084209837,None,68.34674084209837,69.35829863103572,68.34674084209837,69.35829863103572,70.35818606708199,70.55787340307143,70.35818606708199,None,71.95776065508835,None,71.95776065508835,None,3.296804880426782,[0.017361111111111112],[0.3013888888888889],[1],[0],[0],[3.0317555549554527],71.95776065508835,None,76.49271326104645,None,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
48,17,85,45,"[25,45] degrees",right,0.4,-7,17,clockwise,28,37,,,,,0,0,0,0,0,5,5,3,76.99358198908158,None,76.99358198908158,77.99343848309945,76.99358198908158,77.99343848309945,78.99361424904782,None,78.99361424904782,79.99425389105454,78.99361424904782,79.99425389105454,80.99418720009271,81.19429035205394,80.99418720009271,None,82.59370854008012,None,82.59370854008012,None,1.8647852593390073,[0.009722222222222222],[0.2986111111111111],[1],[0],[0],[1.967772791045718],82.59370854008012,None,86.07904564600904,None,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
165,71,204,106,"[25,45] degrees",left,-0.4,124,165,clockwise,39,35,,,,,0,0,0,0,0,6,6,1,86.57904619909823,None,86.57904619909823,87.57931858301163,86.57904619909823,87.57931858301163,88.57851170410868,None,88.57851170410868,89.5803828680655,88.57851170410868,89.5803828680655,90.58036646002438,90.7806105890777,90.58036646002438,None,92.1805492111016,None,92.1805492111016,None,1.8647852593390073,[],[],[],[],[],[],92.1805492111016,None,98.67090776306577,None,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
54,172,97,198,"[25,45] degrees",neutral,0.4,156,172,clockwise,26,43,,,,,0,0,0,0,0,7,7,2,99.18306849501096,None,99.18306849501096,100.1835037691053,99.18306849501096,100.1835037691053,101.1832216050243,None,101.1832216050243,102.18342816503718,101.1832216050243,102.18342816503718,103.18338327505626,103.3826048860792,103.18338327505626,None,104.78479512303602,None,104.78479512303602,None,31.417617793196857,[0.16458333333333333],[0.26944444444444443],[1],[0],[0],[2.1660802480764687],104.78479512303602,None,108.4403505329974,None,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
131,52,110,30,"[25,45] degrees",neutral,-0.4,99,131,anticlockwise,-21,-22,,,,,0,0,0,0,0,8,8,12,108.93411323102191,None,108.93411323102191,109.93613353208639,108.93411323102191,109.93613353208639,110.93607131810859,None,110.93607131810859,111.93618776102085,110.93607131810859,111.93618776102085,112.92593631707132,113.12465129909106,112.92593631707132,None,114.53755853499752,None,114.53755853499752,None,31.417617793196857,[],[],[],[],[],[],114.53755853499752,None,121.03859245008789,None,4444,2022_Nov_30_1428,circle_rotation_short_behav,2021.2.3,60.1043000869986,
