left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
151,55,166,34,"(0,18] degrees",neutral,-0.4,193,151,clockwise,15
127,166,159,76,"(18,36] degrees",left,-0.4,85,127,clockwise,32
163,123,154,115,"(0,18] degrees",right,0.4,153,123,anticlockwise,-8
88,62,124,40,"(18,36] degrees",neutral,0.4,94,62,anticlockwise,-22
71,23,77,175,"(0,18] degrees",left,-0.4,112,71,clockwise,6
128,38,126,73,"(18,36] degrees",right,0.4,52,38,clockwise,35
161,13,153,130,"(0,18] degrees",neutral,-0.4,202,161,anticlockwise,-8
22,96,2,48,"(18,36] degrees",left,-0.4,50,22,anticlockwise,-20
104,37,2,45,"(0,18] degrees",right,0.4,51,37,clockwise,8
55,118,67,139,"(18,36] degrees",neutral,0.4,90,118,clockwise,21
30,98,17,161,"(0,18] degrees",left,-0.4,20,30,anticlockwise,-13
172,31,136,6,"(18,36] degrees",right,0.4,55,31,anticlockwise,-25
19,120,29,166,"(0,18] degrees",neutral,-0.4,59,19,clockwise,10
123,92,149,21,"(18,36] degrees",left,-0.4,142,123,clockwise,26
40,117,13,104,"(0,18] degrees",right,0.4,132,117,anticlockwise,-13
111,1,125,-23,"(18,36] degrees",neutral,0.4,14,1,anticlockwise,-24
39,176,42,101,"(0,18] degrees",left,-0.4,12,39,clockwise,3
65,103,72,135,"(18,36] degrees",right,0.4,99,103,clockwise,32
47,105,39,61,"(0,18] degrees",neutral,-0.4,11,47,anticlockwise,-8
71,46,36,159,"(18,36] degrees",left,-0.4,78,71,anticlockwise,-35
7,92,146,94,"(0,18] degrees",right,0.4,133,92,clockwise,2
106,67,58,99,"(18,36] degrees",neutral,0.4,101,67,clockwise,32
19,70,4,140,"(0,18] degrees",left,-0.4,3,19,anticlockwise,-15
28,119,159,89,"(18,36] degrees",right,0.4,130,119,anticlockwise,-30
142,30,154,44,"(0,18] degrees",neutral,-0.4,105,142,clockwise,12
130,73,159,47,"(18,36] degrees",left,-0.4,150,130,clockwise,29
73,34,104,31,"(0,18] degrees",right,0.4,37,34,anticlockwise,-3
157,1,138,-21,"(18,36] degrees",neutral,0.4,20,1,anticlockwise,-22
7,114,8,94,"(0,18] degrees",left,-0.4,-26,7,clockwise,1
74,140,70,176,"(18,36] degrees",right,0.4,112,140,clockwise,36
41,171,25,159,"(0,18] degrees",neutral,-0.4,57,41,anticlockwise,-16
54,24,28,153,"(18,36] degrees",left,-0.4,58,54,anticlockwise,-26
146,49,113,55,"(0,18] degrees",right,0.4,63,49,clockwise,6
83,166,135,200,"(18,36] degrees",neutral,0.4,181,166,clockwise,34
50,152,49,14,"(0,18] degrees",left,-0.4,39,50,anticlockwise,-1
125,36,47,5,"(18,36] degrees",right,0.4,30,36,anticlockwise,-31
11,170,19,152,"(0,18] degrees",neutral,-0.4,-23,11,clockwise,8
41,152,71,0,"(18,36] degrees",left,-0.4,31,41,clockwise,30
175,84,176,75,"(0,18] degrees",right,0.4,108,84,anticlockwise,-9
167,102,132,77,"(18,36] degrees",neutral,0.4,102,102,anticlockwise,-25
44,153,57,141,"(0,18] degrees",left,-0.4,11,44,clockwise,13
91,47,22,75,"(18,36] degrees",right,0.4,30,47,clockwise,28
110,25,96,163,"(0,18] degrees",neutral,-0.4,144,110,anticlockwise,-14
55,21,24,154,"(18,36] degrees",left,-0.4,16,55,anticlockwise,-31
23,142,3,150,"(0,18] degrees",right,0.4,124,142,clockwise,8
73,119,175,146,"(18,36] degrees",neutral,0.4,162,119,clockwise,27
166,146,150,51,"(0,18] degrees",left,-0.4,198,166,anticlockwise,-16
15,137,147,102,"(18,36] degrees",right,0.4,97,137,anticlockwise,-35
30,154,45,122,"(0,18] degrees",neutral,-0.4,23,30,clockwise,15
76,128,106,48,"(18,36] degrees",left,-0.4,105,76,clockwise,30
165,27,155,11,"(0,18] degrees",right,0.4,72,27,anticlockwise,-16
116,71,131,36,"(18,36] degrees",neutral,0.4,60,71,anticlockwise,-35
72,175,81,104,"(0,18] degrees",left,-0.4,29,72,clockwise,9
142,5,89,24,"(18,36] degrees",right,0.4,-33,5,clockwise,19
32,82,28,3,"(0,18] degrees",neutral,-0.4,61,32,anticlockwise,-4
172,101,152,96,"(18,36] degrees",left,-0.4,142,172,anticlockwise,-20
124,58,90,67,"(0,18] degrees",right,0.4,72,58,clockwise,9
119,89,4,122,"(18,36] degrees",neutral,0.4,67,89,clockwise,33
31,70,15,86,"(0,18] degrees",left,-0.4,10,31,anticlockwise,-16
162,136,80,107,"(18,36] degrees",right,0.4,126,136,anticlockwise,-29
46,84,61,6,"(0,18] degrees",neutral,-0.4,6,46,clockwise,15
111,176,145,44,"(18,36] degrees",left,-0.4,143,111,clockwise,34
95,28,164,24,"(0,18] degrees",right,0.4,-10,28,anticlockwise,-4
65,11,124,-24,"(18,36] degrees",neutral,0.4,-4,11,anticlockwise,-35
138,158,151,130,"(0,18] degrees",left,-0.4,180,138,clockwise,13
117,161,139,183,"(18,36] degrees",right,0.4,156,161,clockwise,22
176,39,170,99,"(0,18] degrees",neutral,-0.4,155,176,anticlockwise,-6
147,83,122,7,"(18,36] degrees",left,-0.4,114,147,anticlockwise,-25
121,151,91,167,"(0,18] degrees",right,0.4,113,151,clockwise,16
163,100,86,133,"(18,36] degrees",neutral,0.4,142,100,clockwise,33
27,168,15,149,"(0,18] degrees",left,-0.4,12,27,anticlockwise,-12
35,117,135,83,"(18,36] degrees",right,0.4,120,117,anticlockwise,-34
117,58,123,79,"(0,18] degrees",neutral,-0.4,101,117,clockwise,6
134,21,165,98,"(18,36] degrees",left,-0.4,105,134,clockwise,31
155,11,148,1,"(0,18] degrees",right,0.4,-14,11,anticlockwise,-10
85,62,127,38,"(18,36] degrees",neutral,0.4,103,62,anticlockwise,-24
122,73,140,95,"(0,18] degrees",left,-0.4,99,122,clockwise,18
33,69,164,92,"(18,36] degrees",right,0.4,84,69,clockwise,23
123,170,108,164,"(0,18] degrees",neutral,-0.4,140,123,anticlockwise,-15
119,48,92,158,"(18,36] degrees",left,-0.4,129,119,anticlockwise,-27
19,109,133,111,"(0,18] degrees",right,0.4,90,109,clockwise,2
104,11,83,31,"(18,36] degrees",neutral,0.4,-26,11,clockwise,20
62,8,47,132,"(0,18] degrees",left,-0.4,35,62,anticlockwise,-15
44,102,106,70,"(18,36] degrees",right,0.4,76,102,anticlockwise,-32
21,126,23,177,"(0,18] degrees",neutral,-0.4,10,21,clockwise,2
138,117,157,88,"(18,36] degrees",left,-0.4,126,138,clockwise,19
176,55,131,52,"(0,18] degrees",right,0.4,66,55,anticlockwise,-3
177,120,147,89,"(18,36] degrees",neutral,0.4,160,120,anticlockwise,-31
131,5,139,112,"(0,18] degrees",left,-0.4,134,131,clockwise,8
